color,duration,director_facebook_likes,actor_3_facebook_likes,actor_1_facebook_likes,genres,cast_total_facebook_likes,facenumber_in_poster,plot_keywords,language,country,content_rating,budget,title_year,actor_2_facebook_likes,aspect_ratio,movie_facebook_likes
'Color', '153', '464', '963', '15000', 'Action|Adventure|Fantasy', '28489', '0', 'lizard|outcast|spider|spider man|teenager', 'English', 'USA', 'PG-13', '230000000', '2012', '10000', '2.35', '56000'
'Color', '156', '0', '738', '891', 'Action|Adventure|Drama|History', '3244', '0', '1190s|archer|england|king of england|robin hood', 'English', 'USA', 'PG-13', '200000000', '2010', '882', '2.35', '17000'
'Color', '186', '0', '773', '5000', 'Adventure|Fantasy', '9152', '6', 'dwarf|elf|lake town|mountain|sword and sorcery', 'English', 'USA', 'PG-13', '225000000', '2013', '972', '2.35', '83000'
'Color', '113', '129', '1000', '16000', 'Adventure|Family|Fantasy', '24106', '2', 'children|epic|friend|girl|quest', 'English', 'USA', 'PG-13', '180000000', '2007', '6000', '2.35', '0'
'Color', '201', '0', '84', '6000', 'Action|Adventure|Drama|Romance', '7123', '0', 'animal name in title|ape abducts a woman|gorilla|island|king kong', 'English', 'New Zealand', 'PG-13', '207000000', '2005', '919', '2.35', '0'
'Color', '194', '0', '794', '29000', 'Drama|Romance', '45223', '0', 'artist|love|ship|titanic|wet', 'English', 'USA', 'PG-13', '200000000', '1997', '14000', '2.35', '26000'
'Color', '147', '94', '11000', '21000', 'Action|Adventure|Sci-Fi', '64798', '0', 'based on comic book|knife|marvel cinematic universe|returning character killed off|superhero', 'English', 'USA', 'PG-13', '250000000', '2016', '19000', '2.35', '72000'
'Color', '131', '532', '627', '14000', 'Action|Adventure|Sci-Fi|Thriller', '26679', '0', 'box office flop|hawaii|naval|oahu hawaii|ship', 'English', 'USA', 'PG-13', '209000000', '2012', '10000', '2.35', '44000'
'Color', '124', '365', '1000', '3000', 'Action|Adventure|Sci-Fi|Thriller', '8458', '0', 'dinosaur|disaster film|experiment gone wrong|jurassic park|velociraptor', 'English', 'USA', 'PG-13', '150000000', '2015', '2000', '2.0', '150000'
'Color', '143', '0', '393', '883', 'Action|Adventure|Thriller', '2039', '0', 'brawl|childhood home|computer cracker|intelligence agency|terrorist cell', 'English', 'UK', 'PG-13', '200000000', '2012', '563', '2.35', '80000'
'Color', '135', '0', '4000', '24000', 'Action|Adventure|Fantasy|Romance', '43388', '1', 'death|doctor|scientist|super villain|tentacle', 'English', 'USA', 'PG-13', '200000000', '2004', '11000', '2.35', '0'
'Color', '195', '1000', '3000', '21000', 'Action|Adventure|Sci-Fi', '30426', '3', 'armor|explosion|human bomb|missile attack|terrorist', 'English', 'USA', 'PG-13', '200000000', '2013', '4000', '2.35', '95000'
'Color', '108', '13000', '11000', '40000', 'Adventure|Family|Fantasy', '79957', '0', 'alice in wonderland|mistaking reality for dream|queen|shrinking|shrinking potion', 'English', 'USA', 'PG', '200000000', '2010', '25000', '1.85', '24000'
'Color', '104', '420', '560', '20000', 'Action|Adventure|Fantasy|Sci-Fi|Thriller', '21714', '0', 'battle|mutant|outrage|walking through a wall|x men', 'English', 'Canada', 'PG-13', '210000000', '2006', '808', '2.35', '0'
'Color', '104', '37', '760', '12000', 'Adventure|Animation|Comedy|Family|Fantasy', '14863', '0', 'cheating|fraternity|monster|singing in a car|university', 'English', 'USA', 'G', '200000000', '2013', '779', '1.85', '44000'
'Color', '150', '0', '464', '894', 'Action|Adventure|Sci-Fi', '3218', '0', 'autobot|decepticon|machine|sun|symbol', 'English', 'USA', 'PG-13', '200000000', '2009', '581', '2.35', '0'
'Color', '165', '0', '808', '974', 'Action|Adventure|Sci-Fi', '3988', '2', 'blockbuster|bumblebee the character|semi truck and trailer|texas|truck', 'English', 'USA', 'PG-13', '210000000', '2014', '956', '2.35', '56000'
'Color', '130', '0', '11000', '44000', 'Adventure|Family|Fantasy', '73441', '4', 'circus|magic|magician|oz|witch', 'English', 'USA', 'PG', '215000000', '2013', '15000', '2.35', '60000'
'Color', '142', '464', '825', '15000', 'Action|Adventure|Fantasy|Sci-Fi', '28631', '0', 'costumed hero|death of girlfriend|masked vigilante|returning character killed off|teenager', 'English', 'USA', 'PG-13', '200000000', '2014', '10000', '2.35', '41000'
'Color', '125', '364', '1000', '12000', 'Action|Adventure|Sci-Fi', '25550', '0', 'arcade|bridge|disappearance|escape|warrior', 'English', 'USA', 'PG', '170000000', '2010', '10000', '2.35', '30000'
'Color', '106', '487', '776', '1000', 'Adventure|Animation|Comedy|Family|Sport', '4482', '0', 'best friend|car race|conspiracy|gadget car|spy', 'English', 'USA', 'G', '200000000', '2011', '919', '2.35', '10000'
'Color', '123', '258', '326', '16000', 'Action|Adventure|Sci-Fi', '17657', '2', 'autopsy|lantern|planet|ring|test pilot', 'English', 'USA', 'PG-13', '200000000', '2011', '368', '2.35', '24000'
'Color', '103', '125', '721', '15000', 'Adventure|Animation|Comedy|Family|Fantasy', '19085', '3', 'college|day care|escape|teddy bear|toy', 'English', 'USA', 'G', '200000000', '2010', '1000', '1.85', '30000'
'Color', '118', '368', '988', '23000', 'Action|Adventure|Sci-Fi', '27468', '0', 'death row|future|machine|rescue|skynet', 'English', 'USA', 'PG-13', '200000000', '2009', '3000', '2.35', '0'
'Color', '140', '0', '14000', '26000', 'Action|Crime|Thriller', '79150', '0', 'car falling off a cliff|hospital|revenge|star died before release|terrorist', 'English', 'USA', 'PG-13', '190000000', '2015', '23000', '2.35', '94000'
'Color', '123', '395', '1000', '17000', 'Action|Adventure|Horror|Sci-Fi|Thriller', '32392', '0', 'chaos|disease|infection|pandemic|zombie', 'English', 'USA', 'PG-13', '190000000', '2013', '11000', '2.35', '129000'
'Color', '149', '0', '20000', '34000', 'Action|Adventure|Fantasy|Sci-Fi|Thriller', '91434', '7', 'dystopia|super strength|supernatural power|time paradox|time travel', 'English', 'USA', 'PG-13', '200000000', '2014', '22000', '2.35', '82000'
'Color', '132', '14000', '928', '19000', 'Action|Adventure|Sci-Fi', '21411', '0', 'admiral|captain|manhunt|mission|space', 'English', 'USA', 'PG-13', '190000000', '2013', '981', '2.35', '92000'
'Color', '114', '0', '140', '979', 'Adventure|Fantasy', '1766', '1', 'bean|giant|king|no opening credits|princess', 'English', 'USA', 'PG-13', '195000000', '2013', '557', '2.35', '22000'
'Color', '143', '1000', '77', '29000', 'Drama|Romance', '29770', '4', 'ingratitude|mansion|party|title appears in writing|tragedy', 'English', 'Australia', 'PG-13', '105000000', '2013', '509', '2.35', '115000'
'Color', '116', '179', '236', '15000', 'Action|Adventure|Fantasy|Romance', '16149', '2', 'alamut|dagger|king|persia|princess', 'English', 'USA', 'PG-13', '200000000', '2010', '567', '2.35', '23000'
'Color', '131', '0', '919', '16000', 'Action|Adventure|Sci-Fi', '19166', '0', 'giant monster|kaiju|pilot|portal|robot', 'English', 'USA', 'PG-13', '190000000', '2013', '968', '1.85', '83000'
'Color', '154', '0', '581', '894', 'Action|Adventure|Sci-Fi', '2593', '2', 'autobot|decepticon|job interview|moon|spacecraft', 'English', 'USA', 'PG-13', '195000000', '2011', '829', '2.35', '46000'
'Color', '122', '14000', '1000', '11000', 'Action|Adventure|Fantasy', '14959', '2', 'cult figure|femme fatale|indiana jones|unsubtitled foreign language|year 1957', 'English', 'USA', 'PG-13', '185000000', '2008', '1000', '2.35', '5000'
'Color', '93', '56', '838', '2000', 'Adventure|Animation|Comedy|Family|Fantasy', '5005', '0', 'archery|coming of age|female warrior|princess|rebellious daughter', 'English', 'USA', 'PG', '185000000', '2012', '1000', '2.35', '39000'
'Color', '122', '681', '105', '998', 'Action|Adventure|Sci-Fi|Thriller', '1327', '4', 'hatred|sequel|space opera|star trek|third part', 'English', 'USA', 'PG-13', '185000000', '2016', '119', '2.35', '30000'
'Color', '98', '475', '522', '1000', 'Adventure|Animation|Family|Sci-Fi', '2975', '0', 'earth|obesity|plant|robot|soil', 'English', 'USA', 'G', '180000000', '2008', '729', '2.35', '16000'
'Color', '91', '420', '173', '268', 'Action|Comedy|Crime|Thriller', '1125', '2', 'ambassador|assassination|chinese|french|triad', 'English', 'USA', 'PG-13', '140000000', '2007', '268', '2.35', '0'
'Color', '158', '776', '310', '1000', 'Action|Adventure|Sci-Fi', '2144', '0', 'ark|catastrophe|geologist|president|writer', 'English', 'USA', 'PG-13', '200000000', '2009', '468', '2.35', '13000'
'Color', '96', '0', '10000', '18000', 'Animation|Drama|Family|Fantasy', '48878', '0', 'charles dickens|christmas|christmas eve|ghost|scrooge', 'English', 'USA', 'PG', '200000000', '2009', '14000', '2.35', '0'
'Color', '127', '0', '13000', '17000', 'Action|Adventure|Sci-Fi', '47334', '1', 'box office flop|critically bashed|planet earth|space opera|woman in bra and panties', 'English', 'USA', 'PG-13', '176000000', '2015', '15000', '2.35', '44000'
'Color', '110', '282', '103', '11000', 'Action|Adventure|Drama|Romance', '21175', '2', 'africa|capture|jungle|male objectification|tarzan', 'English', 'USA', 'PG-13', '180000000', '2016', '10000', '2.35', '29000'
'Color', '144', '0', '1000', '34000', 'Action|Adventure|Sci-Fi', '49684', '6', 'mutant|superhero|superhero team|x men|year 1983', 'English', 'USA', 'PG-13', '178000000', '2016', '13000', '2.35', '54000'
'Color', '152', '22000', '11000', '23000', 'Action|Crime|Drama|Thriller', '57802', '0', 'based on comic book|dc comics|psychopath|star died before release|urban setting', 'English', 'USA', 'PG-13', '185000000', '2008', '13000', '2.35', '37000'
'Color', '96', '0', '262', '1000', 'Adventure|Animation|Comedy|Family', '2635', '1', 'balloon|house|promise|retirement|skeleton', 'English', 'USA', 'PG', '175000000', '2009', '848', '1.85', '27000'
'Color', '94', '11', '459', '1000', 'Action|Adventure|Animation|Comedy|Family|Sci-Fi', '2579', '2', 'alien|alien invasion|alien space craft|giant|giantess', 'English', 'USA', 'PG', '175000000', '2009', '973', '2.35', '0'
'Color', '126', '4000', '4000', '21000', 'Action|Adventure|Sci-Fi', '39252', '3', 'afghanistan|billionaire|inventor|playboy|u.s. air force', 'English', 'USA', 'PG-13', '140000000', '2008', '12000', '2.35', '10000'
'Color', '126', '17000', '1000', '17000', 'Adventure|Drama|Family|Mystery', '36017', '0', 'automaton|mechanical|railway station|steampunk|train', 'English', 'USA', 'PG', '170000000', '2011', '16000', '1.85', '42000'
'Color', '106', '188', '582', '10000', 'Action|Comedy|Sci-Fi|Western', '15870', '2', 'buddy movie|general|inventor|steampunk|utah', 'English', 'USA', 'PG-13', '170000000', '1999', '4000', '1.85', '0'
'Color', '112', '357', '595', '5000', 'Action|Adventure|Fantasy|Horror|Thriller', '9131', '2', 'army|china|emperor|mummy|shangri la', 'English', 'USA', 'PG-13', '145000000', '2008', '3000', '2.35', '0'
'Color', '123', '452', '329', '10000', 'Action|Adventure|Comedy|Sci-Fi', '11287', '8', 'based on comic book|critically bashed|father daughter relationship|reference to superman|super villain', 'English', 'USA', 'PG-13', '175000000', '2016', '336', '2.35', '80000'
'Color', '96', '293', '7000', '87000', 'Comedy|Family|Fantasy', '108016', '0', 'ark|change|congressman|depiction of god|flood', 'English', 'USA', 'PG', '175000000', '2007', '11000', '2.35', '2000'
'Color', '113', '218', '509', '10000', 'Action|Adventure|Sci-Fi', '12652', '1', 'alien|combat|dying repeatedly|end of the world|time loop', 'English', 'USA', 'PG-13', '178000000', '2014', '854', '2.35', '77000'
'Color', '176', '58', '60', '711', 'Action|Adventure|Sci-Fi|Thriller', '1004', '0', 'future|sail|sea|smoker|water', 'English', 'USA', 'PG-13', '175000000', '1995', '60', '1.85', '0'
'Color', '118', '208', '570', '23000', 'Action|Adventure|Sci-Fi|Thriller', '26683', '4', 'cobra|gi joe|snake|train|warhead', 'English', 'USA', 'PG-13', '175000000', '2009', '2000', '2.35', '0'
'Color', '95', '0', '384', '1000', 'Adventure|Animation|Comedy|Drama|Family|Fantasy', '2944', '1', 'anger|joy|memory|running away|sadness', 'English', 'USA', 'PG', '175000000', '2015', '767', '1.85', '118000'
'Color', '106', '4000', '591', '19000', 'Adventure|Drama|Family|Fantasy', '32921', '0', 'fire|jungle|remake|tiger|wolf', 'English', 'UK', 'PG', '175000000', '2016', '13000', '1.85', '65000'
'Color', '124', '4000', '4000', '21000', 'Action|Adventure|Sci-Fi', '48638', '4', 'hammer|military|monaco|revenge|tony stark', 'English', 'USA', 'PG-13', '200000000', '2010', '19000', '2.35', '18000'
'Color', '132', '274', '11000', '26000', 'Action|Adventure|Drama|Fantasy', '72881', '0', 'evil queen|fairy tale|magic|queen|snow white', 'English', 'USA', 'PG-13', '170000000', '2012', '17000', '2.35', '53000'
'Color', '97', '171', '846', '11000', 'Action|Adventure|Family|Fantasy|Romance', '15516', '2', 'curse|dark fantasy|fairy|king|kingdom', 'English', 'USA', 'PG', '180000000', '2014', '2000', '2.35', '89000'
'Color', '130', '198', '884', '10000', 'Action|Adventure|Drama|Sci-Fi', '14363', '0', 'ape|dam|leader|post apocalypse|sequel', 'English', 'USA', 'PG-13', '170000000', '2014', '2000', '1.85', '45000'
'Color', '128', '47', '982', '18000', 'Action|Adventure|Drama|Fantasy', '20965', '2', 'box office flop|ronin|samurai|shogun|tournament', 'English', 'USA', 'PG-13', '175000000', '2013', '1000', '2.35', '35000'
'Color', '136', '94', '2000', '19000', 'Action|Adventure|Sci-Fi', '36188', '1', 'conspiracy|heroism|megalomaniac|super soldier|world domination', 'English', 'USA', 'PG-13', '170000000', '2014', '11000', '2.35', '55000'
'Color', '93', '31', '213', '4000', 'Adventure|Animation|Comedy|Family|Fantasy', '4628', '2', 'alternate world|fairy tale parody|female warrior|ogre|true love', 'English', 'USA', 'PG', '165000000', '2010', '225', '2.35', '0'
'Color', '130', '663', '604', '2000', 'Action|Adventure|Family|Mystery|Sci-Fi', '5046', '2', 'boy genius|futuristic city|inventor|teenage girl|time travel', 'English', 'USA', 'PG', '190000000', '2015', '638', '2.2', '37000'
'Color', '102', '38', '562', '756', 'Action|Adventure|Animation|Comedy|Drama|Family|Sci-Fi', '2963', '0', 'high tech|martial arts|masked man|robot|superhero', 'English', 'USA', 'PG', '165000000', '2014', '719', '2.39', '41000'
'Color', '101', '66', '833', '975', 'Adventure|Animation|Comedy|Family|Sci-Fi', '4451', '1', 'arcade|candy|glitch|king|medal', 'English', 'USA', 'PG', '165000000', '2012', '931', '2.35', '40000'
'Color', '100', '0', '267', '15000', 'Adventure|Animation|Family|Fantasy', '16264', '0', 'boy|christmas|christmas eve|north pole|train', 'English', 'USA', 'G', '165000000', '2004', '726', '2.35', '10000'
'Color', '120', '776', '535', '890', 'Action|Adventure|Sci-Fi', '3233', '0', 'alien|battle|defense|independence day|mothership', 'English', 'USA', 'PG-13', '165000000', '2016', '812', '2.35', '67000'
'Color', '98', '255', '759', '18000', 'Adventure|Animation|Family|Fantasy', '20453', '0', 'dragon|island|training|viking|village', 'English', 'USA', 'PG', '165000000', '2010', '953', '2.35', '33000'
'Color', '109', '84', '191', '648', 'Action|Sci-Fi', '1769', '0', 'drifter|exploding truck|future|machine|skynet', 'English', 'USA', 'R', '200000000', '2003', '284', '2.35', '0'
'Color', '121', '571', '3000', '14000', 'Action|Adventure|Sci-Fi', '32438', '3', 'bounty hunter|outer space|raccoon|talking animal|tree', 'English', 'USA', 'PG-13', '170000000', '2014', '14000', '2.35', '96000'
'Color', '169', '22000', '6000', '11000', 'Adventure|Drama|Sci-Fi', '31488', '1', 'black hole|father daughter relationship|saving the world|space travel|wormhole', 'English', 'USA', 'PG-13', '165000000', '2014', '11000', '2.35', '349000'
'Color', '148', '22000', '23000', '29000', 'Action|Adventure|Sci-Fi|Thriller', '81115', '0', 'ambiguous ending|corporate espionage|dream|subconscious|thief', 'English', 'USA', 'PG-13', '160000000', '2010', '27000', '2.35', '175000'
'Color', '106', '357', '4000', '23000', 'Action|Crime|Thriller', '45327', '2', 'eighteen wheeler|illegal street racing|truck|trucker|undercover cop', 'English', 'USA', 'PG-13', '38000000', '2001', '14000', '2.35', '14000'
'Color', '166', '21000', '919', '11000', 'Drama|Fantasy|Romance', '13333', '2', 'deformed baby|diary|lingerie slip|older man younger woman relationship|premature aging', 'English', 'USA', 'PG-13', '150000000', '2008', '1000', '2.35', '23000'
'Color', '132', '905', '1000', '34000', 'Action|Adventure|Sci-Fi', '50983', '3', 'cia|cia agent|mutant|nuclear war|professor', 'English', 'USA', 'PG-13', '160000000', '2011', '13000', '2.35', '54000'
'Color', '137', '508', '14000', '34000', 'Adventure|Sci-Fi', '81385', '1', 'death of sister|dystopia|execution|rebellion|revolution', 'English', 'USA', 'PG-13', '160000000', '2015', '22000', '2.35', '38000'
'Color', '109', '226', '370', '12000', 'Action|Adventure|Family|Fantasy', '13388', '0', 'chosen one|enchanted object|love|spell|training', 'English', 'USA', 'PG', '150000000', '2010', '418', '2.35', '11000'
'Color', '98', '249', '702', '87000', 'Action|Adventure|Drama|Thriller', '92456', '0', 'cruise|escape|ocean|passenger|water', 'English', 'USA', 'PG-13', '160000000', '2006', '2000', '2.35', '0'
'Color', '113', '33', '11000', '40000', 'Adventure|Family|Fantasy', '80806', '1', 'clock|dark fantasy|mad hatter|queen|sequel', 'English', 'USA', 'PG', '170000000', '2016', '25000', '1.85', '30000'
'Color', '93', '50', '692', '3000', 'Adventure|Animation|Comedy|Family|Fantasy', '4705', '2', 'disney spoof|fairy tale|prince|princess|tough guy', 'English', 'USA', 'PG', '160000000', '2007', '795', '1.85', '0'
'Color', '123', '0', '648', '3000', 'Action|Adventure|Fantasy', '5505', '0', 'based on video game|fictional language|fictional war|orc|sword and sorcery', 'English', 'USA', 'PG-13', '160000000', '2016', '716', '2.35', '89000'
'Color', '126', '230', '2000', '24000', 'Action|Adventure|Sci-Fi', '38873', '2', 'alternate timeline|cyborg|future|robot|time machine', 'English', 'USA', 'PG-13', '155000000', '2015', '10000', '2.35', '82000'
'Color', '113', '150', '59', '531', 'Adventure|Family|Fantasy', '764', '4', 'dragon|king|mouse|quest|warrior', 'English', 'USA', 'PG', '155000000', '2010', '82', '1.78', '11000'
' Black and White', '184', '0', '691', '3000', 'Action|Drama|History|Romance|War', '5401', '0', 'air raid|black smoke|japanese military|japanese navy|sunday', 'English', 'USA', 'PG-13', '140000000', '2001', '961', '2.35', '0'
'Color', '144', '0', '581', '662', 'Action|Adventure|Sci-Fi', '2333', '0', 'alien contact|autobot|decepticon|robot vs. robot|teenage hero', 'English', 'USA', 'PG-13', '150000000', '2007', '599', '2.35', '8000'
'Color', '206', '0', '591', '12000', 'Action|Adventure|Biography|Drama|History|Romance|War', '24598', '3', 'ancient greece|conquest|greek|greek myth|king', 'English', 'Germany', 'R', '155000000', '2004', '11000', '2.35', '0'
'Color', '138', '282', '687', '21000', 'Adventure|Family|Fantasy|Mystery', '33433', '3', 'battle|magic|school|teacher|wizard', 'English', 'UK', 'PG-13', '150000000', '2007', '11000', '2.35', '0'
'Color', '157', '179', '10000', '21000', 'Adventure|Family|Fantasy|Mystery', '53413', '1', 'fire|goblet|magic|tournament|wizard', 'English', 'UK', 'PG-13', '150000000', '2005', '11000', '2.35', '0'
'Color', '102', '532', '979', '10000', 'Action|Drama', '21584', '0', 'bully comeuppance|destruction|prison|superhero|tough girl', 'English', 'USA', 'PG-13', '150000000', '2008', '9000', '2.35', '0'
'Color', '104', '508', '558', '10000', 'Drama|Horror|Sci-Fi', '13076', '0', 'new york city|pandemic|post apocalypse|survivalist|virus', 'English', 'USA', 'PG-13', '150000000', '2007', '1000', '2.35', '11000'
'Color', '115', '13000', '588', '40000', 'Adventure|Comedy|Family|Fantasy', '57844', '3', 'chocolate|diminution|miniaturization|physical flexability|ticket', 'English', 'USA', 'PG', '150000000', '2005', '16000', '1.85', '0'
'Color', '111', '663', '954', '1000', 'Animation|Comedy|Family|Fantasy', '4764', '0', 'chef|food|french|rat|restaurant', 'English', 'USA', 'G', '150000000', '2007', '1000', '2.35', '10000'
'Color', '128', '22000', '11000', '23000', 'Action|Adventure', '59558', '0', 'armored car|gangster|gotham|mixed martial arts|social decay', 'English', 'USA', 'PG-13', '150000000', '2005', '14000', '2.35', '15000'
'Color', '89', '35', '436', '1000', 'Action|Adventure|Animation|Comedy|Family', '3285', '0', 'africa|madagascar|new york city|sequel|zoo', 'English', 'USA', 'PG', '150000000', '2008', '851', '1.85', '0'
'Color', '105', '189', '1000', '49000', 'Adventure|Comedy|Family|Fantasy', '54039', '2', 'hdtv|motorcycle|museum|security guard|tyrannosaurus rex', 'English', 'USA', 'PG', '150000000', '2009', '3000', '2.35', '2000'
'Color', '119', '151', '2000', '20000', 'Action|Adventure|Fantasy|Sci-Fi|Thriller', '40054', '0', 'army|civil war|claw fight|commando|wolverine the character', 'English', 'USA', 'PG-13', '150000000', '2009', '16000', '2.35', '0'
'Color', '129', '0', '233', '309', 'Action|Sci-Fi', '1062', '0', 'battle|epic|fight|future|machine', 'English', 'Australia', 'R', '150000000', '2003', '269', '2.35', '0'
'Color', '102', '69', '490', '1000', 'Adventure|Animation|Comedy|Family|Fantasy|Musical', '2582', '0', 'magic|sister love|sister sister relationship|snow|snowman', 'English', 'USA', 'PG', '150000000', '2013', '523', '2.24', '58000'
'Color', '138', '0', '30', '234', 'Action|Sci-Fi', '534', '0', 'car motorcycle chase|one against many|oracle|prophecy|stylized violence', 'English', 'USA', 'R', '150000000', '2003', '198', '2.35', '0'
'Color', '112', '230', '12000', '26000', 'Action|Adventure|Fantasy', '59803', '3', 'arrest|portal|thor|warrior|weapon', 'English', 'USA', 'PG-13', '170000000', '2013', '20000', '2.35', '63000'
'Color', '120', '750', '943', '27000', 'Action|Adventure|Sci-Fi|Thriller', '40025', '0', 'australia|desert|escape|on the run|post apocalypse', 'English', 'Australia', 'R', '150000000', '2015', '9000', '2.35', '191000'
'Color', '146', '2000', '294', '15000', 'Mystery|Thriller', '16948', '2', 'conclave|illuminati|murder|reference to bernini|reference to raphael', 'English', 'USA', 'PG-13', '150000000', '2009', '745', '2.35', '0'
'Color', '115', '0', '12000', '26000', 'Action|Adventure|Fantasy', '60059', '1', 'battle|marvel cinematic universe|scientist|thor|throne', 'English', 'USA', 'PG-13', '150000000', '2011', '20000', '2.35', '63000'
'Color', '96', '59', '699', '17000', 'Adventure|Animation|Comedy|Drama|Family', '20007', '0', 'cat|dog|hamster|new york city|superpower', 'English', 'USA', 'PG', '150000000', '2008', '759', '1.85', '0'
'Color', '88', '12', '182', '730', 'Action|Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi', '2217', '0', 'fbi director|guinea pig|household appliance|secret agent|talking mouse', 'English', 'USA', 'PG', '150000000', '2009', '607', '2.35', '0'
'Color', '99', '473', '502', '14000', 'Action|Adventure|Fantasy', '16184', '0', 'ares|hades|titan|underworld|zeus', 'English', 'USA', 'PG-13', '150000000', '2012', '897', '1.85', '19000'
'Color', '113', '13000', '16000', '40000', 'Comedy|Fantasy|Horror', '80849', '7', 'camera shot of feet|cartoon on tv|female stockinged feet|female stockinged soles|foot closeup', 'English', 'USA', 'PG-13', '100000000', '2012', '17000', '1.85', '82000'
'Color', '131', '188', '641', '10000', 'Action|Adventure|Thriller', '21840', '0', 'capture|computer hacker|mission|rogue agent|spy', 'English', 'China', 'PG-13', '150000000', '2015', '10000', '2.35', '47000'
